Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss
1,9/4/21,Iowa State,,Northern Iowa,W (16-10),21,26,80.8,199,0,0,,34,136,4,1,,,,
2,9/11/21,Iowa State,,Iowa,L (17-27),24,43,55.8,252,1,3,,27,87,3.2,1,,,,
3,9/18/21,Iowa State,,Nevada-Las Vegas,W (48-3),23,30,76.7,309,3,0,,37,184,5,3,,,,
4,9/25/21,Iowa State,,Baylor,L (29-31),22,33,66.7,263,1,1,,40,216,5.4,2,,,,
5,10/2/21,Iowa State,,Kansas,W (59-7),19,27,70.4,274,4,0,,33,290,8.8,4,,,,
6,10/16/21,Iowa State,,Kansas State,W (33-20),22,25,88,208,1,0,,35,210,6,2,,,,
7,10/23/21,Iowa State,,Oklahoma State,W (24-21),27,33,81.8,307,2,0,,33,67,2,1,,,,
8,10/30/21,Iowa State,,West Virginia,L (31-38),16,27,59.3,185,1,0,,34,239,7,2,,,,
9,11/6/21,Iowa State,,Texas,W (30-7),28,39,71.8,301,1,0,,34,175,5.1,2,,,,
10,11/13/21,Iowa State,,Texas Tech,L (38-41),32,42,76.2,356,3,2,,25,89,3.6,2,,,,
11,11/20/21,Iowa State,,Oklahoma,L (21-28),35,52,67.3,310,2,2,,35,51,1.5,1,,,,
12,11/26/21,Iowa State,,TCU,W (48-14),21,30,70,262,2,0,,21,281,13.4,4,,,,
13,12/29/21,Iowa State,,Clemson,L (13-20),23,39,59,204,1,1,,21,66,3.1,0,,,,